t,x
1.196598299149574901e-05,-2.549157236330208409e-01
1.197598799399699859e-05,-1.981226230591655868e-01
1.198599299649824987e-05,-1.228629089427753923e-01
1.199599799899950115e-05,-3.611829463477630314e-02
1.200600300150075073e-05,5.400698432404782423e-02
1.201600800400200201e-05,1.390778458904555481e-01
1.202601300650325329e-05,2.111537944708717918e-01
1.203601800900450287e-05,2.635638962672756103e-01
1.204602301150575415e-05,2.915524358078527833e-01
1.205602801400700373e-05,2.927300925150798649e-01
1.206603301650825501e-05,2.672860163878361117e-01
1.207603801900950629e-05,2.179413108017248246e-01
1.208604302151075587e-05,1.496514070156357845e-01
1.209604802401200715e-05,6.909071829298198131e-02
1.210605302651325673e-05,-1.602498156610952101e-02
1.211605802901450801e-05,-9.770711793366204656e-02
1.212606303151575929e-05,-1.684743582140250384e-01
1.213606803401700887e-05,-2.220650744337529514e-01
1.214607303651826015e-05,-2.540118553323156281e-01
1.215607803901951143e-05,-2.620235832676238719e-01
1.216608304152076101e-05,-2.461418008703389615e-01
1.217608804402201229e-05,-2.086622234758581662e-01
1.218609304652326187e-05,-1.538366486565005409e-01
1.219609804902451315e-05,-8.739256282402611820e-02
1.220610305152576443e-05,-1.592516995556773202e-02
1.221610805402701401e-05,5.377233263899137278e-02
1.222611305652826529e-05,1.153705893284117379e-01
1.223611805902951488e-05,1.635919885497608139e-01
1.224612306153076615e-05,1.946689291415577283e-01
1.225612806403201743e-05,2.066324509361490980e-01
1.226613306653326701e-05,1.994103978467541838e-01
1.227613806903451829e-05,1.747347232949896523e-01
1.228614307153576957e-05,1.358770356847211480e-01
1.229614807403701915e-05,8.724799786546573455e-02
1.230615307653827043e-05,3.390814232334315309e-02
1.231615807903952002e-05,-1.895597851923510810e-02
1.232616308154077129e-05,-6.653598462595469720e-02
1.233616808404202257e-05,-1.048371360450275624e-01
1.234617308654327216e-05,-1.310060330419621222e-01
1.235617808904452343e-05,-1.435249505467899311e-01
1.236618309154577302e-05,-1.422624404397772324e-01
1.237618809404702429e-05,-1.283851313531937932e-01
1.238619309654827557e-05,-1.041493993401307605e-01
1.239619809904952516e-05,-7.260243205750049889e-02
1.240620310155077643e-05,-3.722922519742660752e-02
1.241620810405202771e-05,-1.584771517270668582e-03
1.242621310655327730e-05,3.105083745177820639e-02
1.243621810905452857e-05,5.796199235072464762e-02
1.244622311155577816e-05,7.720766172365917113e-02
1.245622811405702943e-05,8.773789332491761794e-02
1.246623311655828071e-05,8.941328615312657546e-02
1.247623811905953030e-05,8.293411552634194495e-02
1.248624312156078157e-05,6.969433875323691185e-02
1.249624812406203116e-05,5.158192275981799552e-02
1.250625312656328244e-05,3.075037368663343165e-02
1.251625812906453371e-05,9.386904489218767661e-03
1.252626313156578330e-05,-1.049943986469000987e-02
1.253626813406703458e-05,-2.725069303772482271e-02
1.254627313656828585e-05,-3.968075186524961523e-02
1.255627813906953544e-05,-4.713748519886441085e-02
1.256628314157078671e-05,-4.950622729235652775e-02
1.257628814407203630e-05,-4.716063095946376738e-02
1.258629314657328758e-05,-4.087152864032606719e-02
1.259629814907453885e-05,-3.168752267769475717e-02
1.260630315157578844e-05,-2.080235038889972216e-02
1.261630815407703972e-05,-9.423698298463296930e-03
1.262631315657828930e-05,1.343698648156649604e-03
1.263631815907954058e-05,1.059078390936659710e-02
1.264632316158079186e-05,1.766646203231187623e-02
1.265632816408204144e-05,2.220700020531009636e-02
1.266633316658329272e-05,2.413373245761163757e-02
1.267633816908454399e-05,2.362330525240751919e-02
1.268634317158579358e-05,2.105694193078970489e-02
1.269634817408704486e-05,1.695649310502861731e-02
1.270635317658829444e-05,1.191536544482563187e-02
1.271635817908954572e-05,6.531871738867199920e-03
1.272636318159079700e-05,1.351291769013975887e-03
1.273636818409204658e-05,-3.178799725515931568e-03
1.274637318659329786e-05,-6.737349360291395792e-03
1.275637818909454744e-05,-9.142161329712968076e-03
1.276638319159579872e-05,-1.034688479741559947e-02
1.277638819409705000e-05,-1.042517572459064970e-02
1.278639319659829958e-05,-9.545490091932512175e-03
1.279639819909955086e-05,-7.940408225714581936e-03
1.280640320160080214e-05,-5.874366114485506801e-03
1.281640820410205172e-05,-3.613249769079939725e-03
1.282641320660330300e-05,-1.398595331070086800e-03
1.283641820910455258e-05,5.717505555507825616e-04
1.284642321160580386e-05,2.155599022838440570e-03
1.285642821410705514e-05,3.270996048500657023e-03
1.286643321660830472e-05,3.894142022925193170e-03
1.287643821910955600e-05,4.051945849920293372e-03
1.288644322161080558e-05,3.810840968052848620e-03
1.289644822411205686e-05,3.263603490950923915e-03
1.290645322661330814e-05,2.515827069040181552e-03
1.291645822911455772e-05,1.673466499510319148e-03
1.292646323161580900e-05,8.325139961540237469e-04
1.293646823411705858e-05,7.147261453054488262e-05
1.294647323661830986e-05,-5.531087023084614585e-04
1.295647823911956114e-05,-1.008132415224752276e-03
1.296648324162081072e-05,-1.282862199842186701e-03
1.297648824412206200e-05,-1.385821875087243958e-03
1.298649324662331328e-05,-1.340361714486398848e-03
1.299649824912456286e-05,-1.179583396142285098e-03
1.300650325162581414e-05,-9.412536629126366447e-04
1.301650825412706372e-05,-6.632212672817723153e-04
1.302651325662831500e-05,-3.797040723800021336e-04
1.303651825912956628e-05,-1.186548109736951457e-04
1.304652326163081586e-05,9.973630360132385866e-05
1.305652826413206714e-05,2.634717754633489556e-04
1.306653326663331672e-05,3.682756091265335487e-04
1.307653826913456800e-05,4.164467066307006799e-04
1.308654327163581928e-05,4.152878199949789511e-04
1.309654827413706886e-05,3.753547944253786688e-04
1.310655327663832014e-05,3.087402706441006654e-04
1.311655827913957142e-05,2.275591468632597069e-04
1.312656328164082100e-05,1.427481613908044439e-04
1.313656828414207228e-05,6.323640968831571827e-05
1.314657328664332187e-05,-4.506511554080156585e-06
1.315657828914457314e-05,-5.657850796979889358e-05
1.316658329164582442e-05,-9.147140324803505328e-05
1.317658829414707400e-05,-1.096939934769843218e-04
1.318659329664832528e-05,-1.132743194296153405e-04
1.319659829914957487e-05,-1.052184644301545528e-04
1.320660330165082614e-05,-8.899089906756545935e-05
1.321660830415207742e-05,-6.806491025007041810e-05
1.322661330665332701e-05,-4.557364178683353541e-05
1.323661830915457828e-05,-2.407499846801856172e-05
1.324662331165582956e-05,-5.428816613090835422e-06
1.325662831415707914e-05,9.226661119955170459e-06
1.326663331665833042e-05,1.941940471357572363e-05
1.327663831915958001e-05,2.523329548054003687e-05
1.328664332166083128e-05,2.716711300483499794e-05
1.329664832416208256e-05,2.598461750227784074e-05
1.330665332666333215e-05,2.257336919304784646e-05
1.331665832916458342e-05,1.782485280964790273e-05
1.332666333166583301e-05,1.254325274759354526e-05
1.333666833416708429e-05,7.385452002497069438e-06
1.334667333666833556e-05,2.830916241150238039e-06
1.335667833916958515e-05,-8.227072689933255716e-07
1.336668334167083642e-05,-3.444148480154106930e-06
1.337668834417208770e-05,-5.039763445608352478e-06
1.338669334667333729e-05,-5.717803223791800535e-06
1.339669834917458856e-05,-5.651200301367590620e-06
1.340670335167583815e-05,-5.043152524853381878e-06
1.341670835417708943e-05,-4.098409651164737719e-06
1.342671335667834070e-05,-3.001824433905463195e-06
1.343671835917959029e-05,-1.904557419371356142e-06
1.344672336168084157e-05,-9.174076774941317026e-07
1.345672836418209115e-05,-1.101161604733972012e-07
1.346673336668334243e-05,4.848514054870306222e-07
1.347673836918459370e-05,8.656251765945364230e-07
1.348674337168584329e-05,1.052833181536020114e-06
1.349674837418709457e-05,1.081324081948396035e-06
1.350675337668834584e-05,9.926396951794258564e-07
1.351675837918959543e-05,8.288368700313490373e-07
1.352676338169084671e-05,6.279513006078895122e-07
1.353676838419209629e-05,4.211392200103552961e-07
1.354677338669334757e-05,2.313415643628300979e-07
1.355677838919459884e-05,7.319278177378589095e-08
1.356678339169584843e-05,-4.616207997251606294e-08
1.357678839419709971e-05,-1.256839049745088629e-07
1.358679339669834929e-05,-1.687979591988112958e-07
1.359679839919960057e-05,-1.817443278109081942e-07
1.360680340170085185e-05,-1.721008475860759808e-07
1.361680840420210143e-05,-1.475890633957094168e-07
1.362681340670335271e-05,-1.152112780109839405e-07
1.363681840920460399e-05,-8.071669890063577008e-08
1.364682341170585357e-05,-4.835912073593000625e-08
1.365682841420710485e-05,-2.088738750788159836e-08
1.366683341670835443e-05,2.986708402683779561e-10
1.367683841920960571e-05,1.489270596570375872e-08
1.368684342171085699e-05,2.338424084917896798e-08
1.369684842421210657e-05,2.676416070272024027e-08
1.370685342671335785e-05,2.626472168926421430e-08
1.371685842921460743e-05,2.315228285065151669e-08
1.372686343171585871e-05,1.857964095847445426e-08
1.373686843421710999e-05,1.349613425060950919e-08
1.374687343671835957e-05,8.607791480454855126e-09
1.375687843921961085e-05,4.376562264519231967e-09
1.376688344172086213e-05,1.046645768653839732e-09
1.377688844422211171e-05,-1.313417977504667921e-09
1.378689344672336299e-05,-2.762496606118412705e-09
1.379689844922461257e-05,-3.439766998690319847e-09
1.380690345172586385e-05,-3.523670967815888397e-09
1.381690845422711513e-05,-3.199605835768808992e-09
1.382691345672836471e-05,-2.637198332962326256e-09
1.383691845922961599e-05,-1.976656065693780599e-09
1.384692346173086557e-05,-1.322821520110804707e-09
1.385692846423211685e-05,-7.451172724454897350e-10
1.386693346673336813e-05,-2.814815766638924959e-10
1.387693846923461771e-05,5.544881133957342741e-11
1.388694347173586899e-05,2.713439054135929323e-10
1.389694847423712027e-05,3.834351078601727846e-10
1.390695347673836985e-05,4.147049570666641515e-10
1.391695847923962113e-05,3.893651854367426534e-10
1.392696348174087071e-05,3.297114986812840633e-10
1.393696848424212199e-05,2.542554351594453615e-10
1.394697348674337327e-05,1.769192651067920968e-10
1.395697848924462285e-05,1.070283622766420018e-10
1.396698349174587413e-05,4.983212275889017199e-11
1.397698849424712371e-05,7.313734897227911961e-12
1.398699349674837499e-05,-2.090338672692787647e-11
1.399699849924962627e-05,-3.669063588557699461e-11
1.400700350175087585e-05,-4.267685350620592684e-11
1.401700850425212713e-05,-4.168024267506951917e-11
1.402701350675337841e-05,-3.631703405165818281e-11
1.403701850925462799e-05,-2.877102258763884901e-11
1.404702351175587927e-05,-2.069466734074516685e-11
1.405702851425712885e-05,-1.320714036937167572e-11
1.406703351675838013e-05,-6.955364129691752601e-12
1.407703851925963141e-05,-2.208549135913693184e-12
1.408704352176088099e-05,1.036829236859717474e-12
1.409704852426213227e-05,2.957749514974953589e-12
1.410705352676338186e-05,3.820777519995390068e-12
1.411705852926463313e-05,3.918023979100769064e-12
1.412706353176588441e-05,3.523384627513114168e-12
1.413706853426713400e-05,2.866925581260867102e-12
1.414707353676838527e-05,2.123869851060175571e-12
1.415707853926963655e-05,1.414169117278184892e-12
1.416708354177088613e-05,8.088304022996415963e-13
1.417708854427213741e-05,3.397507473991188505e-13
1.418709354677338700e-05,1.057918376254632406e-14
1.419709854927463827e-05,-1.930860532019119004e-13
1.420710355177588955e-05,-2.951510474985622671e-13
1.421710855427713914e-05,-3.225496708322176550e-13
1.422711355677839041e-05,-3.008474939685492994e-13
1.423711855927964000e-05,-2.516782678379796101e-13
1.424712356178089128e-05,-1.916334645506427789e-13
1.425712856428214255e-05,-1.321897616824093404e-13
1.426713356678339214e-05,-8.028843240627041799e-14
1.427713856928464341e-05,-3.924656650808427150e-14
1.428714357178589469e-05,-9.760825369009752899e-15
1.429714857428714428e-05,9.155648426083669932e-15
1.430715357678839555e-05,1.939317303933322930e-14
1.431715857928964514e-05,2.315820475691923688e-14
1.432716358179089642e-05,2.257676352741184895e-14
1.433716858429214769e-05,1.946356312451371903e-14
1.434717358679339728e-05,1.522079260547604806e-14
1.435717858929464855e-05,1.082829105272275311e-14
1.436718359179589814e-05,6.890338456946351130e-15
1.437718859429714942e-05,3.710807537599743665e-15
1.438719359679840069e-05,1.375972218735871252e-15
1.439719859929965028e-05,-1.685158692806327649e-16
1.440720360180090156e-05,-1.053881919924182310e-15
1.441720860430215283e-05,-1.440486585978886736e-15
1.442721360680340242e-05,-1.485716230574772239e-15
1.443721860930465370e-05,-1.325286283421075141e-15
1.444722361180590328e-05,-1.064915036163435594e-15
1.445722861430715456e-05,-7.792226111806426509e-16
1.446723361680840583e-05,-5.150539330168417852e-16
1.447723861930965542e-05,-2.969917495386808485e-16
1.448724362181090670e-05,-1.334527193589310587e-16
1.449724862431215628e-05,-2.234058839259576173e-17
1.450725362681340756e-05,4.429167715690735866e-17
1.451725862931465884e-05,7.676484784626099482e-17
1.452726363181590842e-05,8.544119091796515046e-17
1.453726863431715970e-05,7.936401149157735117e-17
1.454727363681841098e-05,6.564064711354924468e-17
1.455727863931966056e-05,4.933817221933584414e-17
1.456728364182091184e-05,3.369005288494382247e-17
1.457728864432216142e-05,2.045554928046490039e-17
1.458729364682341270e-05,1.031996701737773340e-17
1.459729864932466398e-05,3.265608848136318974e-18
1.460730365182591356e-05,-1.123187330567878980e-18
