t f_inst
1.299649824912456286e-05 3.038118250000000000e+06
1.300650325162581414e-05 3.038118250000000000e+06
1.301650825412706372e-05 3.038118250000000000e+06
1.302651325662831500e-05 3.038118250000000000e+06
1.303651825912956628e-05 3.038118250000000000e+06
1.304652326163081586e-05 3.038118250000000000e+06
1.305652826413206714e-05 3.038118250000000000e+06
1.306653326663331672e-05 3.038118250000000000e+06
1.307653826913456800e-05 3.038118250000000000e+06
1.308654327163581928e-05 3.038118250000000000e+06
1.309654827413706886e-05 3.038118250000000000e+06
1.310655327663832014e-05 3.038118250000000000e+06
1.311655827913957142e-05 3.038118250000000000e+06
1.312656328164082100e-05 3.038118250000000000e+06
1.313656828414207228e-05 3.038118250000000000e+06
1.314657328664332187e-05 3.038118250000000000e+06
1.315657828914457314e-05 3.038118250000000000e+06
1.316658329164582442e-05 3.038118250000000000e+06
1.317658829414707400e-05 3.038118250000000000e+06
1.318659329664832528e-05 2.973017750000000000e+06
1.319659829914957487e-05 2.973017750000000000e+06
1.320660330165082614e-05 2.973017750000000000e+06
1.321660830415207742e-05 2.973017750000000000e+06
1.322661330665332701e-05 2.973017750000000000e+06
1.323661830915457828e-05 2.973017750000000000e+06
1.324662331165582956e-05 2.973017750000000000e+06
1.325662831415707914e-05 2.973017750000000000e+06
1.326663331665833042e-05 2.973017750000000000e+06
1.327663831915958001e-05 2.973017750000000000e+06
1.328664332166083128e-05 2.973017750000000000e+06
1.329664832416208256e-05 2.973017750000000000e+06
1.330665332666333215e-05 2.973017750000000000e+06
1.331665832916458342e-05 2.973017750000000000e+06
1.332666333166583301e-05 2.973017750000000000e+06
1.333666833416708429e-05 2.973017750000000000e+06
1.334667333666833556e-05 2.973017750000000000e+06
1.335667833916958515e-05 2.973017750000000000e+06
1.336668334167083642e-05 2.973017750000000000e+06
1.337668834417208770e-05 2.973017750000000000e+06
1.338669334667333729e-05 2.973017750000000000e+06
1.339669834917458856e-05 2.973017750000000000e+06
1.340670335167583815e-05 2.973017750000000000e+06
1.341670835417708943e-05 2.973017750000000000e+06
1.342671335667834070e-05 2.973017750000000000e+06
1.343671835917959029e-05 2.973017750000000000e+06
1.344672336168084157e-05 2.973017750000000000e+06
1.345672836418209115e-05 2.973017750000000000e+06
1.346673336668334243e-05 2.973017750000000000e+06
1.347673836918459370e-05 2.973017750000000000e+06
1.348674337168584329e-05 2.973017750000000000e+06
1.349674837418709457e-05 2.973017750000000000e+06
1.350675337668834584e-05 2.973017750000000000e+06
1.351675837918959543e-05 2.973017750000000000e+06
1.352676338169084671e-05 2.973017750000000000e+06
1.353676838419209629e-05 2.973017750000000000e+06
1.354677338669334757e-05 2.973017750000000000e+06
1.355677838919459884e-05 2.973017750000000000e+06
1.356678339169584843e-05 2.973017750000000000e+06
1.357678839419709971e-05 2.973017750000000000e+06
1.358679339669834929e-05 2.973017750000000000e+06
1.359679839919960057e-05 2.973017750000000000e+06
1.360680340170085185e-05 2.973017750000000000e+06
1.361680840420210143e-05 2.973017750000000000e+06
1.362681340670335271e-05 2.973017750000000000e+06
1.363681840920460399e-05 2.973017750000000000e+06
1.364682341170585357e-05 2.973017750000000000e+06
1.365682841420710485e-05 2.909312000000000000e+06
1.366683341670835443e-05 2.909312000000000000e+06
1.367683841920960571e-05 2.909312000000000000e+06
1.368684342171085699e-05 2.909312000000000000e+06
1.369684842421210657e-05 2.909312000000000000e+06
