Time(s), Amplitude
0.0075000, -0.0000000
0.0075200, -0.5877853
0.0075400, -0.9510565
0.0075600, -0.9510565
0.0075800, -0.5877853
0.0076000, 0.0000000
0.0076200, 0.5877853
0.0076400, 0.9510565
0.0076600, 0.9510565
0.0076800, 0.5877853
0.0077000, 0.0000000
0.0077200, -0.5877853
0.0077400, -0.9510565
0.0077600, -0.9510565
0.0077800, -0.5877853
0.0078000, 0.0000000
0.0078200, 0.5877853
0.0078400, 0.9510565
0.0078600, 0.9510565
0.0078800, 0.5877853
0.0079000, -0.0000000
0.0079200, -0.5877853
0.0079400, -0.9510565
0.0079600, -0.9510565
0.0079800, -0.5877853
0.0080000, -0.0000000
0.0080200, 0.5877853
0.0080400, 0.9510565
0.0080600, 0.9510565
0.0080800, 0.5877853
0.0081000, -0.0000000
0.0081200, -0.5877853
0.0081400, -0.9510565
0.0081600, -0.9510565
0.0081800, -0.5877853
0.0082000, 0.0000000
0.0082200, 0.5877853
0.0082400, 0.9510565
0.0082600, 0.9510565
0.0082800, 0.5877853
0.0083000, -0.0000000
0.0083200, -0.5877853
0.0083400, -0.9510565
0.0083600, -0.9510565
0.0083800, -0.5877853
0.0084000, 0.0000000
0.0084200, 0.5877853
0.0084400, 0.9510565
0.0084600, 0.9510565
0.0084800, 0.5877853
0.0085000, 0.0000000
0.0085200, -0.5877853
0.0085400, -0.9510565
0.0085600, -0.9510565
0.0085800, -0.5877853
0.0086000, -0.0000000
0.0086200, 0.5877853
0.0086400, 0.9510565
0.0086600, 0.9510565
0.0086800, 0.5877853
0.0087000, -0.0000000
0.0087200, -0.5877853
0.0087400, -0.9510565
0.0087600, -0.9510565
0.0087800, -0.5877853
0.0088000, 0.0000000
0.0088200, 0.5877853
0.0088400, 0.9510565
0.0088600, 0.9510565
0.0088800, 0.5877853
0.0089000, -0.0000000
0.0089200, -0.5877853
0.0089400, -0.9510565
0.0089600, -0.9510565
0.0089800, -0.5877853
0.0090000, 0.0000000
0.0090200, 0.5877853
0.0090400, 0.9510565
0.0090600, 0.9510565
0.0090800, 0.5877853
0.0091000, 0.0000000
0.0091200, -0.5877853
0.0091400, -0.9510565
0.0091600, -0.9510565
0.0091800, -0.5877853
0.0092000, 0.0000000
0.0092200, 0.5877853
0.0092400, 0.9510565
0.0092600, 0.9510565
0.0092800, 0.5877853
0.0093000, -0.0000000
0.0093200, -0.5877853
0.0093400, -0.9510565
0.0093600, -0.9510565
0.0093800, -0.5877853
0.0094000, 0.0000000
0.0094200, 0.5877853
0.0094400, 0.9510565
0.0094600, 0.9510565
0.0094800, 0.5877853
0.0095000, -0.0000000
0.0095200, -0.5877853
0.0095400, -0.9510565
0.0095600, -0.9510565
0.0095800, -0.5877853
0.0096000, 0.0000000
0.0096200, 0.5877853
0.0096400, 0.9510565
0.0096600, 0.9510565
0.0096800, 0.5877853
0.0097000, 0.0000000
0.0097200, -0.5877853
0.0097400, -0.9510565
0.0097600, -0.9510565
0.0097800, -0.5877853
0.0098000, 0.0000000
0.0098200, 0.5877853
0.0098400, 0.9510565
0.0098600, 0.9510565
0.0098800, 0.5877853
0.0099000, -0.0000000
0.0099200, -0.5877853
0.0099400, -0.9510565
0.0099600, -0.9510565
0.0099800, -0.5877853
0.0100000, 0.0000000
0.0100200, 0.5877853
0.0100400, 0.9510565
0.0100600, 0.9510565
0.0100800, 0.5877853
0.0101000, -0.0000000
0.0101200, -0.5877853
0.0101400, -0.9510565
0.0101600, -0.9510565
0.0101800, -0.5877853
0.0102000, 0.0000000
0.0102200, 0.5877853
0.0102400, 0.9510565
0.0102600, 0.9510565
0.0102800, 0.5877853
0.0103000, -0.0000000
0.0103200, -0.5877853
0.0103400, -0.9510565
0.0103600, -0.9510565
0.0103800, -0.5877853
0.0104000, 0.0000000
0.0104200, 0.5877853
0.0104400, 0.9510565
0.0104600, 0.9510565
0.0104800, 0.5877853
0.0105000, -0.0000000
0.0105200, -0.5877853
0.0105400, -0.9510565
0.0105600, -0.9510565
0.0105800, -0.5877853
0.0106000, -0.0000000
0.0106200, 0.5877853
0.0106400, 0.9510565
0.0106600, 0.9510565
0.0106800, 0.5877853
0.0107000, -0.0000000
0.0107200, -0.5877853
0.0107400, -0.9510565
0.0107600, -0.9510565
0.0107800, -0.5877853
0.0108000, 0.0000000
0.0108200, 0.5877853
0.0108400, 0.9510565
0.0108600, 0.9510565
0.0108800, 0.5877853
0.0109000, -0.0000000
0.0109200, -0.5877853
0.0109400, -0.9510565
0.0109600, -0.9510565
0.0109800, -0.5877853
0.0110000, 0.0000000
0.0110200, 0.5877853
0.0110400, 0.9510565
0.0110600, 0.9510565
0.0110800, 0.5877853
0.0111000, 0.0000000
0.0111200, -0.5877853
0.0111400, -0.9510565
0.0111600, -0.9510565
0.0111800, -0.5877853
0.0112000, 0.0000000
0.0112200, 0.5877853
0.0112400, 0.9510565
0.0112600, 0.9510565
0.0112800, 0.5877853
0.0113000, -0.0000000
0.0113200, -0.5877853
0.0113400, -0.9510565
0.0113600, -0.9510565
0.0113800, -0.5877853
0.0114000, 0.0000000
0.0114200, 0.5877853
0.0114400, 0.9510565
0.0114600, 0.9510565
0.0114800, 0.5877853
0.0115000, -0.0000000
0.0115200, -0.5877853
0.0115400, -0.9510565
0.0115600, -0.9510565
0.0115800, -0.5877853
0.0116000, 0.0000000
0.0116200, 0.5877853
0.0116400, 0.9510565
0.0116600, 0.9510565
0.0116800, 0.5877853
0.0117000, 0.0000000
0.0117200, -0.5877853
0.0117400, -0.9510565
0.0117600, -0.9510565
0.0117800, -0.5877853
0.0118000, 0.0000000
0.0118200, 0.5877853
0.0118400, 0.9510565
0.0118600, 0.9510565
0.0118800, 0.5877853
0.0119000, -0.0000000
0.0119200, -0.5877853
0.0119400, -0.9510565
0.0119600, -0.9510565
0.0119800, -0.5877853
0.0120000, 0.0000000
0.0120200, 0.5877853
0.0120400, 0.9510565
0.0120600, 0.9510565
0.0120800, 0.5877853
0.0121000, -0.0000000
0.0121200, -0.5877853
0.0121400, -0.9510565
0.0121600, -0.9510565
0.0121800, -0.5877853
0.0122000, -0.0000000
0.0122200, 0.5877853
0.0122400, 0.9510565
0.0122600, 0.9510565
0.0122800, 0.5877853
0.0123000, 0.0000000
0.0123200, -0.5877853
0.0123400, -0.9510565
0.0123600, -0.9510565
0.0123800, -0.5877853
0.0124000, 0.0000000
0.0124200, 0.5877853
0.0124400, 0.9510565
0.0124600, 0.9510565
0.0124800, 0.5877853
0.0125000, -0.0000000
0.0125200, -0.5877853
0.0125400, -0.9510565
0.0125600, -0.9510565
0.0125800, -0.5877853
0.0126000, 0.0000000
0.0126200, 0.5877853
0.0126400, 0.9510565
0.0126600, 0.9510565
0.0126800, 0.5877853
0.0127000, -0.0000000
0.0127200, -0.5877853
0.0127400, -0.9510565
0.0127600, -0.9510565
0.0127800, -0.5877853
0.0128000, 0.0000000
0.0128200, 0.5877853
0.0128400, 0.9510565
0.0128600, 0.9510565
0.0128800, 0.5877853
0.0129000, -0.0000000
0.0129200, -0.5877853
0.0129400, -0.9510565
0.0129600, -0.9510565
0.0129800, -0.5877853
0.0130000, 0.0000000
0.0130200, 0.5877853
0.0130400, 0.9510565
0.0130600, 0.9510565
0.0130800, 0.5877853
0.0131000, -0.0000000
0.0131200, -0.5877853
0.0131400, -0.9510565
0.0131600, -0.9510565
0.0131800, -0.5877853
0.0132000, 0.0000000
0.0132200, 0.5877853
0.0132400, 0.9510565
0.0132600, 0.9510565
0.0132800, 0.5877853
0.0133000, -0.0000000
0.0133200, -0.5877853
0.0133400, -0.9510565
0.0133600, -0.9510565
0.0133800, -0.5877853
0.0134000, 0.0000000
0.0134200, 0.5877853
0.0134400, 0.9510565
